i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
1,1,1,0.4,0.6,0.5,1.960858147184532,1.5054152393281302e-13,500.0
1,1,2,0.4166666666666667,0.6,0.5,1.9649230628074839,1.5528183082111134e-13,500.0
1,1,3,0.43333333333333335,0.6,0.5,1.968701307969987,1.601730223044606e-13,500.0
1,1,4,0.45,0.6,0.5,1.9720128502936478,1.6490211803435823e-13,500.0
1,1,5,0.4666666666666667,0.6,0.5,1.9749015521163795,1.6951580395012636e-13,500.0
1,1,6,0.48333333333333334,0.6,0.5,1.9777198070483855,1.7437025245521954e-13,500.0
1,1,7,0.5,0.6,0.5,1.9802549349106684,1.791443018504868e-13,500.0
1,2,1,0.4,0.695,0.5,1.9707941562167823,1.694836281372948e-13,500.0
1,2,2,0.4166666666666667,0.695,0.5,1.974843819696236,1.748462312020693e-13,500.0
1,2,3,0.43333333333333335,0.695,0.5,1.9786069233477843,1.8037630004243523e-13,500.0
1,2,4,0.45,0.695,0.5,1.9819052448828054,1.8572262253361776e-13,500.0
1,2,5,0.4666666666666667,0.695,0.5,1.9847779930315685,1.9093449930564478e-13,500.0
1,2,6,0.48333333333333334,0.695,0.5,1.9875852805328593,1.9642054039841774e-13,500.0
1,2,7,0.5,0.695,0.5,1.99010806173908,2.0179347966652173e-13,500.0
1,3,1,0.4,0.7899999999999999,0.5,1.9775930019211934,1.8938434949504012e-13,500.0
1,3,2,0.4166666666666667,0.7899999999999999,0.5,1.9816289117996941,1.9538624646807878e-13,500.0
1,3,3,0.43333333333333335,0.7899999999999999,0.5,1.9853789541337663,2.0157447758181353e-13,500.0
1,3,4,0.45,0.7899999999999999,0.5,1.9886657708921343,2.075563588335027e-13,500.0
1,3,5,0.4666666666666667,0.7899999999999999,0.5,1.9915295092225895,2.1339286219094134e-13,500.0
1,3,6,0.48333333333333334,0.7899999999999999,0.5,1.994326650945312,2.195298908262091e-13,500.0
1,3,7,0.5,0.7899999999999999,0.5,1.996841833063143,2.2554536541614175e-13,500.0
1,4,1,0.4,0.885,0.5,1.9824774226230713,2.1030986150131927e-13,500.0
1,4,2,0.4166666666666667,0.885,0.5,1.9865032434383647,2.169794553648882e-13,500.0
1,4,3,0.43333333333333335,0.885,0.5,1.9902440354992597,2.2385727056688738e-13,500.0
1,4,4,0.45,0.885,0.5,1.9935227606463464,2.305054453950297e-13,500.0
1,4,5,0.4666666666666667,0.885,0.5,1.9963788191336738,2.3698484811359946e-13,500.0
1,4,6,0.48333333333333334,0.885,0.5,1.999168675462649,2.43803819465106e-13,500.0
1,4,7,0.5,0.885,0.5,2.00167900110138,2.5050316972926664e-13,500.0
1,5,1,0.4,0.98,0.5,1.985953968843117,2.3102582921253025e-13,500.0
1,5,2,0.4166666666666667,0.98,0.5,1.9899729494329572,2.3835819151067367e-13,500.0
1,5,3,0.43333333333333335,0.98,0.5,1.9937073134071999,2.459191020529999e-13,500.0
1,5,4,0.45,0.98,0.5,1.9969803888082944,2.53227165553014e-13,500.0
1,5,5,0.4666666666666667,0.98,0.5,1.9998315360780248,2.603522400388404e-13,500.0
1,5,6,0.48333333333333334,0.98,0.5,2.002616559164714,2.6784754918429027e-13,500.0
1,5,7,0.5,0.98,0.5,2.0051229845234992,2.7521281814277416e-13,500.0
1,6,1,0.4,1.075,0.5,1.9884838469062533,2.5113970460808754e-13,500.0
1,6,2,0.4166666666666667,1.075,0.5,1.9924988028608042,2.591243340100347e-13,500.0
1,6,3,0.43333333333333335,1.075,0.5,1.9962292391424958,2.6735569543334326e-13,500.0
1,6,4,0.45,1.075,0.5,1.9994988919338175,2.7531158618016055e-13,500.0
1,6,5,0.4666666666666667,1.075,0.5,2.002345958891385,2.8306152778520904e-13,500.0
1,6,6,0.48333333333333334,1.075,0.5,2.0051281956324223,2.9122120124944307e-13,500.0
1,6,7,0.5,1.075,0.5,2.0076314759197995,2.9922602783264376e-13,500.0
1,7,1,0.4,1.17,0.5,1.9904960658853312,2.7199310885887374e-13,500.0
1,7,2,0.4166666666666667,1.17,0.5,1.9945069565771572,2.80643993696614e-13,500.0
1,7,3,0.43333333333333335,1.17,0.5,1.9982335632439117,2.8956157782338087e-13,500.0
1,7,4,0.45,1.17,0.5,2.0014998506046426,2.9818042390909417e-13,500.0
1,7,5,0.4666666666666667,1.17,0.5,2.004344262567273,3.065801523353677e-13,500.0
1,7,6,0.48333333333333334,1.17,0.5,2.0071235699795995,3.1541926663665675e-13,500.0
1,7,7,0.5,1.17,0.5,2.0096245127272847,3.240929658884636e-13,500.0
2,1,1,0.4,0.6,0.5109183673469387,1.95411020034915,1.5217154679558102e-13,510.91836734693874
2,1,2,0.4166666666666667,0.6,0.5109183673469387,1.9583021395487898,1.5691500611353534e-13,510.91836734693874
2,1,3,0.43333333333333335,0.6,0.5109183673469387,1.962200403883123,1.618107718737859e-13,510.91836734693874
2,1,4,0.45,0.6,0.5109183673469387,1.9656177801869157,1.665438084294949e-13,510.91836734693874
2,1,5,0.4666666666666667,0.6,0.5109183673469387,1.9686080073593684,1.7117501588769094e-13,510.91836734693874
2,1,6,0.48333333333333334,0.6,0.5109183673469387,1.9715206315344342,1.7604049984808812e-13,510.91836734693874
2,1,7,0.5,0.6,0.5109183673469387,1.9741412608876443,1.8082624089066995e-13,510.91836734693874
2,2,1,0.4,0.695,0.5109183673469387,1.9644937235912276,1.7112117045928932e-13,510.91836734693874
2,2,2,0.4166666666666667,0.695,0.5109183673469387,1.9686693949443825,1.764834277057813e-13,510.91836734693874
2,2,3,0.43333333333333335,0.695,0.5109183673469387,1.9725514850668364,1.8201442866181036e-13,510.91836734693874
2,2,4,0.45,0.695,0.5109183673469387,1.9759547329143796,1.8736104461491883e-13,510.91836734693874
2,2,5,0.4666666666666667,0.695,0.5109183673469387,1.9789280976346566,1.9258964275157405e-13,510.91836734693874
2,2,6,0.48333333333333334,0.695,0.5109183673469387,1.9818289318996538,1.98083519688716e-13,510.91836734693874
2,2,7,0.5,0.695,0.5109183673469387,1.9844360120534696,2.0346279656028216e-13,510.91836734693874
2,3,1,0.4,0.7899999999999999,0.5109183673469387,1.9715974073800275,1.9106385236218927e-13,510.91836734693874
2,3,2,0.4166666666666667,0.7899999999999999,0.5109183673469387,1.9757583497289501,1.9706190721237818e-13,510.91836734693874
2,3,3,0.43333333333333335,0.7899999999999999,0.5109183673469387,1.9796264335724574,2.032475108635212e-13,510.91836734693874
2,3,4,0.45,0.7899999999999999,0.5109183673469387,1.9830173364949555,2.0922609296449154e-13,510.91836734693874
2,3,5,0.4666666666666667,0.7899999999999999,0.5109183673469387,1.9859809670997595,2.1507776006216873e-13,510.91836734693874
2,3,6,0.48333333333333334,0.7899999999999999,0.5109183673469387,1.9888708929026582,2.2121971687050727e-13,510.91836734693874
2,3,7,0.5,0.7899999999999999,0.5109183673469387,1.9914698171566363,2.2723875147292123e-13,510.91836734693874
2,4,1,0.4,0.885,0.5109183673469387,1.976698072160789,2.1204364343237608e-13,510.91836734693874
2,4,2,0.4166666666666667,0.885,0.5109183673469387,1.98084818617146,2.1870557464492844e-13,510.91836734693874
2,4,3,0.43333333333333335,0.885,0.5109183673469387,1.9847063330251904,2.2557698449139824e-13,510.91836734693874
2,4,4,0.45,0.885,0.5109183673469387,1.9880885397085122,2.3221807510586634e-13,510.91836734693874
2,4,5,0.4666666666666667,0.885,0.5109183673469387,1.991043800623323,2.387098968545238e-13,510.91836734693874
2,4,6,0.48333333333333334,0.885,0.5109183673469387,1.993925887775434,2.455307937559411e-13,510.91836734693874
2,4,7,0.5,0.885,0.5109183673469387,1.996519675460647,2.5223208952397275e-13,510.91836734693874
2,5,1,0.4,0.98,0.5109183673469387,1.980331597595975,2.328378306363096e-13,510.91836734693874
2,5,2,0.4166666666666667,0.98,0.5109183673469387,1.984474371017943,2.4015961626164825e-13,510.91836734693874
2,5,3,0.43333333333333335,0.98,0.5109183673469387,1.988325612690188,2.4771120740635786e-13,510.91836734693874
2,5,4,0.45,0.98,0.5109183673469387,1.9917017473345389,2.550092373210346e-13,510.91836734693874
2,5,5,0.4666666666666667,0.98,0.5109183673469387,1.994651731872724,2.6214593162426017e-13,510.91836734693874
2,5,6,0.48333333333333334,0.98,0.5109183673469387,1.9975286119348015,2.696409742516447e-13,510.91836734693874
2,5,7,0.5,0.98,0.5109183673469387,2.000118177739784,2.770059441793191e-13,510.91836734693874
